Point Number,Degree
0,4
1,4
2,3
3,5
4,2
5,15
6,7
7,2
8,6
9,5
10,5
11,15
12,4
13,4
14,4
15,12
16,7
17,3
18,4
19,7
20,2
21,7
22,2
23,11
24,7
25,3
26,4
27,3
28,10
29,2
30,13
31,2
32,3
33,6
34,5
35,2
36,7
37,2
38,11
39,5
40,4
41,5
42,6
43,4
44,3
45,5
46,37
47,4
48,4
49,2
50,9
51,3
52,4
53,12
54,8
55,6
56,5
57,7
58,7
59,8
60,3
61,6
62,3
63,15
64,2
65,7
66,6
67,3
68,7
69,2
70,3
71,6
72,2
73,15
74,5
75,3
76,4
77,13
78,9
79,7
80,7
81,7
82,3
83,11
84,8
85,5
86,4
87,10
88,12
89,110
90,5
91,3
92,7
93,5
94,5
95,6
96,21
97,14
98,4
99,5
100,3
101,10
102,3
103,7
104,3
105,8
106,3
107,10
108,5
109,2
110,5
111,12
112,3
113,3
114,6
115,3
116,5
117,17
118,4
119,4
120,5
121,8
122,5
123,2
124,5
125,12
126,2
127,7
128,4
129,2
130,6
131,13
132,2
133,3
134,5
135,4
136,12
137,6
138,2
139,8
140,2
141,7
142,6
143,10
144,38
145,3
146,3
147,4
148,18
149,3
150,3
151,25
152,11
153,2
154,5
155,3
156,9
157,4
158,5
159,9
160,3
161,18
162,13
163,2
164,6
165,8
166,5
167,8
168,2
169,10
170,15
171,3
172,3
173,13
174,2
175,5
176,12
177,2
178,10
179,6
180,4
181,6
182,15
183,2
184,28
185,2
186,5
187,2
188,7
189,3
190,3
191,7
192,2
193,24
194,4
195,4
196,4
197,19
198,2
199,9
200,4
201,2
202,14
203,2
204,15
205,2
206,13
207,16
208,5
209,6
210,3
211,6
212,15
213,3
214,3
215,13
216,18
217,5
218,6
219,3
220,6
221,22
222,8
223,19
224,20
225,2
226,33
227,3
228,3
229,13
230,5
231,5
232,5
233,4
234,2
235,9
236,3
237,3
238,15
239,5
240,5
241,4
242,6
243,2
244,10
245,4
246,4
247,4
248,11
249,2
250,4
251,2
252,7
253,8
254,4
255,6
256,4
257,4
258,6
259,30
260,2
261,3
262,4
263,5
264,3
265,3
266,10
267,2
268,5
269,2
270,6
271,3
272,3
273,7
274,11
275,5
276,6
277,2
278,7
279,2
280,6
281,8
282,2
283,6
284,2
285,5
286,3
287,4
288,2
289,16
290,2
291,6
292,4
293,4
294,7
295,2
296,4
297,2
298,15
299,2
300,3
301,5
302,2
303,9
304,2
305,6
306,4
307,5
308,7
309,7
310,2
311,4
312,3
313,29
314,2
315,6
316,3
317,3
318,6
319,2
320,10
321,3
322,3
323,8
324,3
325,2
326,9
327,3
328,3
329,10
330,6
331,5
332,4
333,6
334,6
335,19
336,8
337,5
338,6
339,4
340,8
341,3
342,7
343,4
344,9
345,9
346,2
347,3
348,10
349,8
350,3
351,5
352,4
353,7
354,2
355,7
356,3
357,5
358,2
359,9
360,2
361,11
362,3
363,3
364,10
365,2
366,4
367,3
368,9
369,3
370,3
371,4
372,7
373,5
374,2
375,5
376,6
377,8
378,2
379,2
