Time,Magnitude
-12.737424005545108,14.879
-12.73166400553697,14.879
-12.729984005541326,14.874
-12.72427200554003,14.873
-12.724176005542319,14.874
-12.72307200554664,14.869
-12.717312005552571,14.883
-12.705840005548026,14.876
-12.703344005544267,14.876
-12.699840005540011,14.872
-12.699072005532287,14.88
-12.679728005546622,14.87
-12.679152005538356,14.883
-12.669168005545032,14.868
-12.655440005553828,14.878
-12.644448005553272,14.877
-12.643968005538142,14.884
-12.64118400553349,14.877
-12.638448005539829,14.876
-12.627840005535859,14.882
-12.625680005537276,14.876
-12.623664005550012,14.866
-12.621792005545899,14.877
-12.597072005533107,14.88
-12.587856005541994,14.874
-12.576672005540217,14.873
-12.57585600555069,14.87
-12.559968005554197,14.867
-12.55838400554478,14.869
-12.554448005535107,14.831
-12.550560005544583,14.85
-12.542688005541635,14.875
-12.542304005559288,14.874
-12.535776005541521,14.874
-12.523008005561309,14.873
-12.511968005561357,14.88
-12.422064005533258,14.873
-12.412272005553291,14.874
-12.40286400553893,14.876
-12.399552005533991,14.877
-12.396144005539668,14.872
-12.391824005551314,14.875
-12.38774400553848,14.877
-12.375264005547308,14.868
-12.364608005551418,14.872
-12.361440005532188,14.873
-12.356208005533972,14.87
-12.35448000553879,14.867
-12.34281600553885,14.872
-12.319872005540589,14.874
-12.318624005543086,14.873
-12.308160005542106,14.885
-12.307488005535959,14.872
-12.304608005532742,14.878
-12.30230400554828,14.875
-12.296592005532887,14.875
-12.294192005544744,14.882
-12.293376005537198,14.877
-12.288288005545326,14.878
-12.279600005548843,14.873
-12.271776005548986,14.873
-12.250368005533403,14.877
-12.242448005536858,14.871
-12.22992000554649,14.879
-12.20884800554586,14.869
-12.20337600553492,14.882
-12.183792005545172,14.878
-12.176592005547207,14.874
-12.175152005543964,14.876
-12.168288005548305,14.869
-12.139632005543149,14.872
-12.138096005531565,14.877
-12.1358400055407,14.869
-12.10800000554957,14.88
-12.100464005538441,14.876
-12.065232005532238,14.881
-12.048480005541933,14.876
-12.040224005541916,14.867
-12.040128005541192,14.879
-11.980944005546547,14.868
-11.978832005544234,14.875
-11.970048005537052,14.878
-11.949888005549894,14.876
-11.948448005547505,14.88
-11.946576005529721,14.878
-11.938752005535946,14.879
-11.938128005550823,14.869
-11.934192005554053,14.871
-11.926176005538139,14.875
-11.925072005542802,14.881
-11.920608005547251,14.881
-11.909616005535298,14.875
-11.905920005545966,14.878
-11.900976005542589,14.875
-11.897904005541193,14.876
-11.875584005561393,14.872
-11.873952005530953,14.881
-11.87246400553667,14.872
-11.871696005531959,14.875
-11.856096005551763,14.867
-11.847744005548094,14.872
-11.836032005534207,14.876
-11.82979200553416,14.862
-11.7961440055428,14.87
-11.788512005532425,14.873
-11.764272005519928,14.876
-11.745360005537805,14.875
-11.742912005534805,14.875
-11.740848005537828,14.869
-11.739600005535635,14.878
-11.732400005544775,14.876
-11.71574400553169,14.875
-11.708400005550345,14.869
-11.683488005535764,14.869
-11.650368005542134,14.884
-11.633328005530444,14.888
-11.610816005554028,14.877
-11.598048005537237,14.874
-11.587968005520992,14.871
-11.587488005546618,14.875
-11.583552005537797,14.881
-11.578080005545473,14.874
-11.575248005536054,14.882
-11.572032005540166,14.867
-11.567088005534401,14.877
-11.56488000553648,14.882
-11.547456005537498,14.874
-11.545056005544836,14.883
-11.53315200553368,14.879
-11.526720005548498,14.865
-11.525712005532455,14.876
-11.495664005537463,14.886
-11.491200005552912,14.878
-11.485632005544062,14.876
-11.466336005541393,14.877
-11.46614400553159,14.875
-11.458944005549341,14.871
-11.448048005545274,14.875
-11.445120005548233,14.882
-11.404800005536515,14.884
-11.404752005553007,14.88
-11.398368005545763,14.87
-11.39524800552681,14.866
-11.393232005534117,14.87
-11.389920005550835,14.876
-11.386224005539646,14.877
-11.37940800553406,14.863
-11.373168005532449,14.884
-11.371392005534204,14.875
-11.33880000553171,14.873
-11.300928005529443,14.871
-11.300736005551101,14.863
-11.286624005551118,14.87
-11.276160005532859,14.869
-11.272512005532406,14.876
-11.265648005536207,14.877
-11.257248005550935,14.871
-11.256480005534769,14.877
-11.248368005530608,14.88
-11.230752005544502,14.884
-11.220576005544245,14.878
-11.215488005538191,14.87
-11.198352005532684,14.878
-11.195424005547892,14.874
-11.152224005548845,14.878
-11.146896005540555,14.878
-11.14003200554032,14.874
-11.137008005544772,14.875
-11.109888005546935,14.873
-11.109792005532995,14.879
-11.103936005541186,14.879
-11.096016005531453,14.874
-11.094144005535838,14.882
-11.089872005540371,14.877
-11.08651200553362,14.883
-11.081904005551621,14.874
-11.075088005538419,14.879
-11.065008005547185,14.884
-11.063904005540337,14.87
-11.036448005547669,14.877
-11.008800005529963,14.867
-11.004480005530809,14.874
-10.994352005542083,14.874
-10.98393600554789,14.874
-10.971168005543461,14.872
-10.970976005549062,14.875
-10.967760005552975,14.873
-10.966512005535549,14.874
-10.961136005535366,14.864
-10.913088005537702,14.876
-10.900128005535805,14.877
-10.888704005547396,14.877
-10.886160005546657,14.882
-10.878480005539302,14.88
-10.878192005545145,14.883
-10.878048005543349,14.873
-10.872576005540708,14.874
-10.869792005538216,14.876
-10.832928005543067,14.872
-10.820112005545866,14.868
-10.815504005542238,14.869
-10.797504005530925,14.883
-10.791552005545952,14.876
-10.789152005536778,14.871
-10.76798400555839,14.878
-10.749792005546965,14.876
-10.746864005538612,14.877
-10.7149440055328,14.877
-10.703568005531366,14.886
-10.703568005530514,14.872
-10.677696005534415,14.867
-10.67448000555089,14.881
-10.672608005533277,14.876
-10.667520005541576,14.87
-10.666272005545977,14.873
-10.66425600554092,14.87
-10.65451200554321,14.873
-10.637952005553274,14.874
-10.614192005541469,14.872
-10.600368005535984,14.871
-10.587744005555209,14.873
-10.586880005523028,14.874
-10.585920005540856,14.875
-10.58164800554863,14.874
-10.577280005552154,14.874
-10.576560005540898,14.872
-10.576512005531384,14.881
-10.574304005544462,14.872
-10.570416005544473,14.871
-10.56720000555623,14.878
-10.553376005549893,14.873
-10.546752005535268,14.876
-10.530768005536515,14.873
-10.526688005535505,14.882
-10.511424005540533,14.873
-10.489152005541143,14.872
-10.486272005552735,14.884
-10.481616005533738,14.872
-10.464672005535988,14.877
-10.429200005547216,14.866
-10.426944005544158,14.877
-10.410288005530106,14.885
-10.386528005546552,14.872
-10.370928005536427,14.87
-10.368768005541739,14.891
-10.36752000553463,14.889
-10.367424005537089,14.875
-10.365600005550789,14.875
-10.362192005544273,14.865
-10.32936000554497,14.874
-10.321824005549075,14.866
-10.30857600553307,14.88
-10.303200005518676,14.877
-10.299168005548836,14.868
-10.270176005550013,14.881
-10.257888005542043,14.873
-10.240512005551778,14.875
-10.240224005536646,14.875
-10.232976005545737,14.874
-10.229328005533603,14.872
-10.228800005537039,14.87
-10.228656005540984,14.876
-10.218768005532155,14.874
-10.216128005540668,14.884
-10.20998400553762,14.871
-10.20859200554321,14.875
-10.187952005553996,14.879
-10.181952005535265,14.877
-10.17940800553373,14.878
-10.172064005518905,14.869
-10.15243200553266,14.881
-10.13913600554082,14.869
-10.128576005540907,14.874
-10.118256005545277,14.871
-10.110624005546072,14.876
-10.104240005549116,14.875
-10.097424005533014,14.881
-10.085232005539012,14.888
-10.066128005531084,14.878
-10.062432005542576,14.874
-10.02940800553634,14.883
-10.01769600554428,14.876
-10.011264005541364,14.879
-9.996768005548347,14.874
-9.96662400554601,14.878
-9.95750400554121,14.875
-9.937056005540114,14.879
-9.937008005550013,14.877
-9.9257280055416,14.877
-9.916656005547651,14.876
-9.915984005542185,14.876
-9.909840005540161,14.874
-9.906384005545618,14.874
-9.905328005534102,14.87
-9.887952005545117,14.869
-9.887712005542596,14.874
-9.879552005534777,14.872
-9.86347200553783,14.872
-9.843024005536563,14.875
-9.834048005548937,14.881
-9.820272005536225,14.87
-9.81417600554272,14.879
-9.811968005535164,14.858
-9.801072005546644,14.882
-9.791184005539492,14.876
-9.778800005541314,14.872
-9.769296005542287,14.872
-9.765552005533607,14.873
-9.76540800553181,14.877
-9.741600005544342,14.869
-9.717216005541815,14.875
-9.693168005534517,14.867
-9.691488005538218,14.889
-9.679488005534921,14.861
-9.663744005557817,14.873
-9.65918400552988,14.879
-9.635424005539903,14.869
-9.630048005541568,14.881
-9.625728005545966,14.874
-9.601200005544513,14.876
-9.599136005536224,14.87
-9.589392005548177,14.873
-9.578112005553692,14.881
-9.567984005537795,14.871
-9.557472005533668,14.876
-9.55166400553432,14.877
-9.53577600553865,14.878
-9.531264005547797,14.87
-9.519600005553059,14.875
-9.495072005535576,14.867
-9.485040005531346,14.876
-9.483072005536826,14.881
-9.482448005547155,14.879
-9.469584005543823,14.878
-9.46915200553434,14.876
-9.467328005531328,14.872
-9.459072005538388,14.875
-9.450288005532002,14.871
-9.444480005526032,14.873
-9.442752005541877,14.874
-9.442080005534706,14.879
-9.411696005539284,14.873
-9.411696005538431,14.883
-9.40872000553378,14.88
-9.386208005540084,14.874
-9.383376005549763,14.879
-9.357840005520785,14.875
-9.351408005551008,14.876
-9.330000005553018,14.876
-9.301824005542642,14.878
-9.298848005530203,14.87
-9.293568005550725,14.878
-9.292032005551334,14.875
-9.276816005542685,14.873
-9.276192005541077,14.871
-9.275568005540265,14.878
-9.274176005538123,14.876
-9.266304005540945,14.875
-9.247440005553642,14.878
-9.236688005535484,14.885
-9.230688005543897,14.872
-9.2214720055307,14.881
-9.200784005537201,14.872
-9.183744005547169,14.882
-9.179952005543214,14.887
-9.170592005545984,14.873
-9.165408005540542,14.874
-9.153984005549376,14.88
-9.153984005543975,14.882
