Degree,Log(Probability)
2,-1.782674397005584
3,-1.6055341989536271
4,-1.932956600054922
5,-2.047366951232666
6,-2.5481422391451556
7,-2.8358243115969364
8,-3.3466499353629273
9,-3.4644329710193107
10,-3.310282291192052
11,-4.244591528568885
12,-3.934436600265046
13,-4.445262224031037
14,-4.244591528568885
15,-4.8507273321392015
16,-5.543874512699146
17,-5.0330488889331555
18,-5.256192440247365
19,-5.543874512699146
20,-5.543874512699146
21,-5.543874512699146
22,-5.543874512699146
23,-6.642486801367256
24,-6.642486801367256
25,-5.949339620807311
27,-6.642486801367256
28,-6.642486801367256
29,-5.256192440247365
30,-6.642486801367256
37,-6.642486801367256
45,-6.642486801367256
51,-6.642486801367256
