Degree,Log(Probability)
2,-1.7880762238117585
3,-1.825533786346659
4,-1.6834512727328863
5,-2.2818905017512128
6,-2.5898572453744992
7,-3.063144949821425
8,-3.063144949821425
9,-3.0371694634181643
10,-3.48185528467961
11,-3.6096886561894945
12,-4.503506532211591
13,-4.503506532211591
14,-3.9926809084456005
15,-4.621289567867975
16,-4.754820960492498
17,-4.908971640319756
18,-4.908971640319756
19,-5.0912931971137105
20,-5.602118820879701
21,-5.31443674842792
22,-5.31443674842792
24,-6.70073110954781
26,-6.70073110954781
28,-6.70073110954781
29,-6.007583928987866
30,-6.70073110954781
31,-6.70073110954781
33,-6.70073110954781
35,-6.70073110954781
37,-6.70073110954781
44,-6.70073110954781
51,-6.70073110954781
58,-6.70073110954781
