Degree,Log(Probability)
2,-1.7229999972053445
3,-1.6474924446971992
4,-1.9743144254862504
5,-2.1995610269972388
6,-2.6263035335526883
7,-2.6263035335526883
8,-2.821612285873454
9,-3.2270773939816184
10,-4.0453877174955695
11,-3.8089989394313393
12,-3.980849196357999
13,-4.55621334126156
14,-4.450852825603734
15,-5.367143557477889
16,-4.673996376917944
17,-6.060290738037835
18,-4.673996376917944
19,-6.060290738037835
20,-6.75343791859778
21,-5.65482562992967
22,-5.1440000061636795
24,-6.060290738037835
25,-6.75343791859778
26,-6.75343791859778
27,-6.75343791859778
29,-6.060290738037835
30,-6.75343791859778
32,-6.75343791859778
33,-6.75343791859778
37,-6.75343791859778
45,-6.75343791859778
58,-6.75343791859778
62,-6.75343791859778
