Degree,Log(Probability)
2,-1.7695233277811733
3,-1.5745506534336597
4,-1.968652002891509
5,-2.320496019560576
6,-2.5052301227599143
7,-2.847516329246547
8,-2.8075109946328483
9,-3.3053494228720277
10,-3.906123283300958
11,-3.7436043538031827
12,-3.906123283300958
13,-4.254429977569173
14,-4.341441354558803
15,-6.046189446797229
16,-5.1298987149230735
17,-4.947577158129119
18,-5.640724338689064
19,-5.353042266237283
20,-5.353042266237283
21,-5.353042266237283
22,-4.659895085677338
23,-5.640724338689064
24,-6.046189446797229
26,-6.046189446797229
27,-6.739336627357174
34,-6.046189446797229
50,-6.739336627357174
60,-6.739336627357174
