Degree,Log(Probability)
2,-1.9190550617521371
3,-1.586045032859395
4,-1.6455864265504117
5,-2.2734285087025903
6,-2.5962019009656414
7,-2.889189025647115
8,-3.18398856586776
9,-3.4071321171819697
10,-3.848964869461009
11,-3.648294173998858
12,-4.436751534363128
13,-4.436751534363128
14,-4.0312864262549635
15,-5.1298987149230735
16,-4.659895085677338
17,-5.1298987149230735
18,-5.640724338689064
19,-5.1298987149230735
20,-5.640724338689064
21,-5.640724338689064
22,-6.739336627357174
23,-6.739336627357174
24,-6.739336627357174
25,-6.046189446797229
26,-5.1298987149230735
28,-6.739336627357174
29,-6.739336627357174
31,-6.739336627357174
32,-6.739336627357174
35,-6.739336627357174
38,-6.739336627357174
42,-6.739336627357174
47,-6.739336627357174
