Degree,Log(Probability)
2,-1.819355701529049
3,-1.6455864265504117
4,-1.9271522719847562
5,-2.0388562615647574
6,-2.5052301227599143
7,-2.6962853595226237
8,-3.6038424114280243
9,-3.3720407973707
10,-3.520460802488973
11,-4.100279297741915
12,-3.906123283300958
13,-3.7436043538031827
14,-4.436751534363128
15,-4.947577158129119
16,-4.542112050020955
17,-5.353042266237283
18,-5.640724338689064
19,-5.353042266237283
20,-6.046189446797229
21,-5.640724338689064
22,-5.353042266237283
24,-6.739336627357174
25,-6.046189446797229
26,-6.046189446797229
27,-6.046189446797229
28,-6.739336627357174
30,-6.739336627357174
34,-6.739336627357174
37,-6.739336627357174
53,-6.739336627357174
96,-6.739336627357174
