Degree,Log(Probability)
2,-1.692871468075846
3,-1.6609198682692439
4,-1.885636984030884
5,-2.2871728139991587
6,-2.45315795147342
7,-2.8586230595815842
8,-3.146305132033365
9,-3.0922379107630893
10,-3.5109482456212744
11,-3.5943298545603257
12,-4.331928797691105
13,-4.532599493153256
14,-4.4272389774954295
15,-4.650382528809639
16,-5.631211781821365
17,-6.03667688992953
18,-5.120386158055375
19,-6.03667688992953
20,-5.343529709369585
21,-6.729824070489475
22,-6.729824070489475
23,-6.03667688992953
24,-6.729824070489475
25,-6.729824070489475
26,-6.729824070489475
28,-6.729824070489475
29,-6.729824070489475
30,-6.729824070489475
33,-6.729824070489475
36,-6.03667688992953
37,-6.729824070489475
38,-6.729824070489475
55,-6.729824070489475
