Degree,Log(Probability)
2,-1.7504181290716136
3,-1.6110626081611024
4,-1.968899667280012
5,-2.203739258357413
6,-2.452955049981398
7,-2.6620468478399575
8,-3.245193133185574
9,-3.478807984367079
10,-3.71519676243131
11,-3.784189633918261
12,-4.631487494305465
13,-4.343805421853684
14,-3.9383403137455195
15,-4.631487494305465
16,-4.477336814478207
17,-5.32463467486541
18,-5.0369526024136295
19,-4.81380905109942
20,-5.730099782973574
21,-5.730099782973574
23,-6.423246963533519
24,-6.423246963533519
27,-5.730099782973574
29,-6.423246963533519
30,-6.423246963533519
36,-6.423246963533519
44,-6.423246963533519
45,-6.423246963533519
