Degree,Log(Probability)
2,-1.8142856143609873
3,-1.71180694507805
4,-1.7720258050711046
5,-2.260123177759539
6,-2.5146530428944196
7,-2.6712221035859596
8,-3.1652406090355694
9,-3.2522519860251986
10,-3.490663009470197
11,-3.915546203435463
12,-4.040709346389469
13,-4.2638528977036785
14,-4.55153497015546
15,-4.802849398436366
16,-5.3624651863717885
17,-5.650147258823569
18,-5.650147258823569
19,-4.802849398436366
20,-5.650147258823569
21,-5.3624651863717885
22,-6.748759547491679
23,-6.055612366931734
24,-5.139321635057579
25,-6.748759547491679
26,-6.748759547491679
27,-6.748759547491679
29,-6.748759547491679
31,-6.748759547491679
35,-6.055612366931734
41,-6.748759547491679
43,-6.748759547491679
50,-6.748759547491679
59,-6.748759547491679
