Degree,Log(Probability)
2,-1.566975997199594
3,-1.7448132415462199
4,-1.9780749230260144
5,-2.3179427486483655
6,-2.486079670450364
7,-2.8169339147673536
8,-3.111173387765293
9,-3.2223990228755177
10,-3.915546203435463
11,-4.040709346389469
12,-3.915546203435463
13,-4.2638528977036785
14,-4.802849398436366
15,-4.55153497015546
16,-4.10970221787642
17,-4.957000078263624
18,-4.55153497015546
19,-6.748759547491679
20,-6.055612366931734
21,-5.3624651863717885
22,-6.748759547491679
23,-6.748759547491679
24,-6.748759547491679
25,-6.055612366931734
27,-6.748759547491679
28,-6.055612366931734
29,-6.748759547491679
31,-6.055612366931734
33,-6.748759547491679
37,-6.748759547491679
38,-6.748759547491679
39,-6.748759547491679
40,-6.748759547491679
45,-6.748759547491679
