Degree,Log(Probability)
2,-1.7529860833020943
3,-1.6631821884407911
4,-2.122203401017918
5,-2.1719649105769814
6,-2.3874845367805317
7,-2.7679483426832787
8,-2.995732273553991
9,-3.2015843277581397
10,-3.461095523243224
11,-3.9237190451913375
12,-3.7612001156935624
13,-4.454347296253507
14,-4.272025739459553
15,-4.677490847567718
16,-4.965172920019499
17,-5.658320100579444
18,-4.677490847567718
19,-4.965172920019499
20,-6.063785208687608
21,-6.063785208687608
22,-6.756932389247553
23,-6.063785208687608
24,-6.063785208687608
25,-6.756932389247553
28,-6.756932389247553
31,-6.756932389247553
35,-6.756932389247553
36,-6.756932389247553
38,-6.756932389247553
40,-6.756932389247553
46,-6.756932389247553
56,-6.756932389247553
69,-6.756932389247553
