Degree,Log(Probability)
2,-1.6374373069344585
3,-1.7346010553881064
4,-1.834684513945089
5,-2.0522048077049364
6,-2.6474961982611234
7,-3.087447482440457
8,-3.1415147037107327
9,-3.546979811818897
10,-3.7293013686128518
11,-4.327138369368472
12,-3.9524449199270615
13,-3.834661884270678
14,-4.77912349311153
15,-4.645592100487007
16,-4.933274172938788
17,-4.77912349311153
18,-5.115595729732743
19,-6.725033642166843
20,-5.338739281046952
21,-5.626421353498733
22,-5.115595729732743
23,-5.626421353498733
24,-6.031886461606898
25,-6.725033642166843
26,-6.725033642166843
27,-6.031886461606898
28,-6.725033642166843
30,-6.031886461606898
32,-6.031886461606898
34,-6.725033642166843
62,-6.725033642166843
