Degree,Log(Probability)
2,-1.6508063414827432
3,-1.7623974068912056
4,-1.7834508160890379
5,-2.3501840717933247
6,-2.254873891989
7,-2.971010590773644
8,-3.474114168445724
9,-3.6876882687437833
10,-3.5541568761192606
11,-3.959621984227425
12,-4.093153376851948
13,-4.16726134900567
14,-3.7877717273007656
15,-5.345916345347316
16,-4.786300557411892
17,-4.940451237239151
18,-5.633598417799097
19,-4.940451237239151
20,-5.633598417799097
21,-6.0390635259072605
22,-6.0390635259072605
23,-5.633598417799097
24,-6.0390635259072605
25,-6.0390635259072605
26,-6.0390635259072605
27,-5.633598417799097
30,-6.732210706467206
35,-6.732210706467206
53,-6.732210706467206
65,-6.732210706467206
