Degree,Probability
2,0.17356013551665725
3,0.17751270468661773
4,0.14970355731225296
5,0.11540090344438171
6,0.0840626764539808
7,0.0629587803500847
8,0.046513269339356296
9,0.034232072275550536
10,0.027456239412761152
11,0.01948051948051948
12,0.020256916996047432
13,0.014822134387351778
14,0.012140033879164314
15,0.009528514963297572
16,0.007128740824392998
17,0.007128740824392998
18,0.005575945793337098
19,0.004517221908526256
20,0.003176171654432524
21,0.0029644268774703555
22,0.002611518915866742
23,0.002258610954263128
24,0.0018351214003387917
25,0.0016233766233766235
26,0.0012704686617730095
27,0.001764539808018069
28,0.0010587238848108413
29,0.00042348955392433656
30,0.0008469791078486731
31,0.0007058159232072275
32,0.0009175607001693959
33,0.0006352343308865048
34,0.0006352343308865048
35,0.0001411631846414455
36,0.00042348955392433656
37,0.0001411631846414455
38,0.00021174477696216828
39,0.000282326369282891
40,7.058159232072275e-05
41,0.00021174477696216828
42,0.0001411631846414455
43,7.058159232072275e-05
44,7.058159232072275e-05
45,0.000282326369282891
46,0.0001411631846414455
47,7.058159232072275e-05
49,7.058159232072275e-05
50,7.058159232072275e-05
51,0.000282326369282891
53,7.058159232072275e-05
54,7.058159232072275e-05
56,0.0001411631846414455
58,7.058159232072275e-05
63,7.058159232072275e-05
66,7.058159232072275e-05
67,7.058159232072275e-05
69,7.058159232072275e-05
74,7.058159232072275e-05
75,0.0001411631846414455
77,0.0001411631846414455
78,7.058159232072275e-05
81,7.058159232072275e-05
82,0.0001411631846414455
83,7.058159232072275e-05
93,7.058159232072275e-05
95,0.0001411631846414455
96,7.058159232072275e-05
104,7.058159232072275e-05
105,7.058159232072275e-05
116,7.058159232072275e-05
123,7.058159232072275e-05
131,0.0001411631846414455
132,7.058159232072275e-05
143,7.058159232072275e-05
163,7.058159232072275e-05
177,7.058159232072275e-05
198,7.058159232072275e-05
204,7.058159232072275e-05
221,7.058159232072275e-05
245,7.058159232072275e-05
