Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
0,-1.3230998999999999,-15.546,5,0.6
1,-1.1891151,-15.553,5,0.8
2,-1.1221226999999998,-15.557,3,1.0
3,-1.0886265,-15.554,5,0.8
4,-1.0551303,-15.553,4,1.0
5,-1.0216341,-15.544,15,0.24761904761904763
6,-0.8206568999999999,-15.562,2,1.0
7,-0.7536645,-15.558499999999999,8,0.4642857142857143
8,-0.5861835,-15.571,2,1.0
9,-0.5191911,-15.564,5,0.7
10,-0.4856949,-15.564,6,0.8
11,-0.31821390000000005,-15.57,4,1.0
12,-0.2512215,-15.568,5,0.9
13,-0.2177253,-15.5595,10,0.4222222222222222
14,-0.18422910000000003,-15.564,3,1.0
15,-0.016748100000000044,-15.5685,3,1.0
16,0.01327439999448643,-15.56075,8,0.42857142857142855
17,0.05024429999999991,-15.567333333333332,5,0.8
18,0.0837405,-15.574,3,1.0
19,0.28471769999999985,-15.571000000000002,6,0.6666666666666666
20,0.31821389999999994,-15.577,3,1.0
21,0.5526872999999999,-15.573,5,0.8
22,0.5861834999999999,-15.56,15,0.22857142857142856
23,0.6196796999999998,-15.576,3,1.0
24,0.6866721,-15.575,3,1.0
25,0.7201682999999999,-15.565,7,0.42857142857142855
26,0.7536644999999997,-15.569,3,1.0
27,0.8541531,-15.57,3,1.0
28,0.8876492999999999,-15.564,6,0.5333333333333333
29,0.9211454999999997,-15.564,3,1.0
30,0.9881378999999999,-15.561,9,0.2777777777777778
31,1.0216341,-15.574,2,1.0
32,1.0886264999999997,-15.57,4,0.6666666666666666
33,1.1556189,-15.571,3,1.0
34,1.1891151,-15.564,4,0.5
35,1.2561074999999997,-15.5685,2,0.0
