Degree,Probability
2,0.15582067968185104
3,0.19269703543022415
4,0.16341287057122197
5,0.11605206073752712
6,0.08496023138105567
7,0.06218365871294288
8,0.041576283441793205
9,0.03976861894432393
10,0.027838033261026754
11,0.020607375271149676
12,0.019884309472161965
13,0.011207519884309472
14,0.008676789587852495
15,0.005784526391901663
16,0.005422993492407809
17,0.006507592190889371
18,0.008315256688358641
19,0.0021691973969631237
20,0.004699927693420101
21,0.0018076644974692696
22,0.0028922631959508315
23,0.0021691973969631237
24,0.0036153289949385392
25,0.0018076644974692696
26,0.0014461315979754157
27,0.0010845986984815619
28,0.0007230657989877079
29,0.0010845986984815619
30,0.0007230657989877079
31,0.00036153289949385393
32,0.0010845986984815619
35,0.00036153289949385393
38,0.0007230657989877079
41,0.00036153289949385393
44,0.0007230657989877079
46,0.0007230657989877079
49,0.00036153289949385393
122,0.00036153289949385393
