Degree,Probability
2,0.1555977229601518
3,0.17647058823529413
4,0.16698292220113853
5,0.11005692599620494
6,0.06261859582542695
7,0.07969639468690702
8,0.036053130929791274
9,0.05313092979127135
10,0.022770398481973434
11,0.018975332068311195
12,0.024667931688804556
13,0.022770398481973434
14,0.013282732447817837
15,0.009487666034155597
16,0.009487666034155597
17,0.0056925996204933585
18,0.009487666034155597
20,0.003795066413662239
21,0.003795066413662239
23,0.0018975332068311196
24,0.003795066413662239
25,0.003795066413662239
27,0.0018975332068311196
60,0.0018975332068311196
121,0.0018975332068311196
